LAST SEEN   TYPE      REASON                   OBJECT                                 MESSAGE
7m43s       Normal    Scheduled                pod/autohttps-5588fb5c97-v9px5         Successfully assigned jhub/autohttps-5588fb5c97-v9px5 to gke-jhub-cluster-default-pool-ae24674e-h4n8
7m42s       Normal    Pulling                  pod/autohttps-5588fb5c97-v9px5         Pulling image "jupyterhub/k8s-secret-sync:1.1.3-n291.h773264a9"
7m26s       Normal    Pulled                   pod/autohttps-5588fb5c97-v9px5         Successfully pulled image "jupyterhub/k8s-secret-sync:1.1.3-n291.h773264a9" in 15.765004442s
7m25s       Normal    Created                  pod/autohttps-5588fb5c97-v9px5         Created container load-acme
7m25s       Normal    Started                  pod/autohttps-5588fb5c97-v9px5         Started container load-acme
7m23s       Normal    Pulling                  pod/autohttps-5588fb5c97-v9px5         Pulling image "traefik:v2.6.1"
7m17s       Normal    Pulled                   pod/autohttps-5588fb5c97-v9px5         Successfully pulled image "traefik:v2.6.1" in 6.13352423s
7m16s       Normal    Created                  pod/autohttps-5588fb5c97-v9px5         Created container traefik
7m16s       Normal    Started                  pod/autohttps-5588fb5c97-v9px5         Started container traefik
7m16s       Normal    Pulled                   pod/autohttps-5588fb5c97-v9px5         Container image "jupyterhub/k8s-secret-sync:1.1.3-n291.h773264a9" already present on machine
7m16s       Normal    Created                  pod/autohttps-5588fb5c97-v9px5         Created container secret-sync
7m16s       Normal    Started                  pod/autohttps-5588fb5c97-v9px5         Started container secret-sync
7m43s       Normal    SuccessfulCreate         replicaset/autohttps-5588fb5c97        Created pod: autohttps-5588fb5c97-v9px5
7m44s       Normal    ScalingReplicaSet        deployment/autohttps                   Scaled up replica set autohttps-5588fb5c97 to 1
7m44s       Normal    Scheduled                pod/continuous-image-puller-f29h6      Successfully assigned jhub/continuous-image-puller-f29h6 to gke-jhub-cluster-default-pool-ae24674e-h4n8
7m43s       Normal    Pulled                   pod/continuous-image-puller-f29h6      Container image "jupyterhub/k8s-network-tools:1.1.3-n176.h739f4b47" already present on machine
7m43s       Normal    Created                  pod/continuous-image-puller-f29h6      Created container image-pull-metadata-block
7m43s       Normal    Started                  pod/continuous-image-puller-f29h6      Started container image-pull-metadata-block
7m42s       Normal    Pulled                   pod/continuous-image-puller-f29h6      Container image "jupyterhub/k8s-singleuser-sample:1.1.3-n320.hb262750c" already present on machine
7m42s       Normal    Created                  pod/continuous-image-puller-f29h6      Created container image-pull-singleuser
7m42s       Normal    Started                  pod/continuous-image-puller-f29h6      Started container image-pull-singleuser
